asset,prev_close,close,daily_return,signal,confidence,regime,prob_up,rule,timestamp_utc
DAX,25466.76,25454.8,-0.05,SELL,0.1326,neutral,0.4337,,2026-09-23 10:19 UTC
ATX,6941.25,6943.99,0.04,HOLD,0.0158,neutral,0.5079,,2026-09-23 10:19 UTC
DOW,51916.1,51866.37,-0.1,HOLD,0.0041,neutral,0.4979,,2026-09-23 10:19 UTC
NASDAQ,27267.78,27241.53,-0.1,SELL,0.2251,neutral,0.3874,,2026-09-23 10:19 UTC
SP500,7773.93,7764.27,-0.12,SELL,0.1408,neutral,0.4296,,2026-09-23 10:19 UTC
NIKKEI,65040.9,65200.24,0.24,HOLD,0.0975,neutral,0.5488,,2026-09-23 10:19 UTC
